id,category,level,kana,phrase,phrase_en,answer,group
30,大ピンチずかん,39,た,たんじょうびケーキのろうそくがきえない,The birthday cake candles won't go out.,-,kids
32,大ピンチずかん,54,れ,れいとうこがあかない,The freezer won't open.,-,kids
33,大ピンチずかん,48,ふ,ふくの　タグが　きになって　しかたがない,The loose thread on my clothes is bothering me.,-,kids
34,大ピンチずかん,43,し,しゅくだいノートと　じゆうちょうをまちがえた,Confused the homework notebook with the sketchbook.,-,kids
35,大ピンチずかん,38,ふ,ふたがしまらない,The lid won't close.,-,kids
36,大ピンチずかん,32,め,めんつゆがすごくあまった,A lot of noodle dipping sauce was left over.,-,kids
37,大ピンチずかん,53,な,ながしのみずがスプーンではねた,The water in the sink splashed off the spoon.,-,kids
38,大ピンチずかん,49,べ,べんざをあけたまますわった,Sat down with the toilet seat up.,-,kids
39,大ピンチずかん,37,あ,アメリカンドッグがまわる,The corn dog is spinning.,-,kids
40,大ピンチずかん,76,ね,ねむれない,Can't sleep.,-,kids
41,大ピンチずかん,47,し,シャンプーがめにはいった,Got shampoo in my eyes.,-,kids
42,大ピンチずかん,51,ば,バッグのなかですいとうがもれた,The water bottle leaked inside the bag.,-,kids
43,大ピンチずかん,56,な,なまえがおもいだせない,Can't remember the name.,-,kids
44,大ピンチずかん,64,き,きんじょの　おばさんに　なまえを　いつも　まちがえられる,The neighborhood lady has been getting my name wrong for a long time.,-,kids
45,大ピンチずかん,50,お,おゆがない,There is no hot water.,-,kids
46,大ピンチずかん,45,ど,ドアをあけられてさむい,Someone opened the door and it's cold.,-,kids
47,大ピンチずかん,40,せ,せんせいのメガネがとんだ,The teacher's glasses flew off.,-,kids
48,大ピンチずかん,36,ほ,ほねを　とるのに　しっぱいして　みが　くずれた,It became a mess while I was trying to remove the bones.,-,kids
49,大ピンチずかん,29,ぎ,ぎゅうにゅうがこぼれた,The milk spilled.,-,kids
50,大ピンチずかん,96,か,かさがうらがえった,The umbrella turned inside out.,-,kids
51,大ピンチずかん,97,じ,じてんしゃがドミノだおし,The bicycles fell over like dominoes.,-,kids
52,大ピンチずかん,98,お,おもったよりみじかくなった,It became shorter than I thought.,-,kids
53,大ピンチずかん,99,ね,ネコがついてくる,A cat is following me.,-,kids
54,大ピンチずかん,100,ど,どしゃぶりなのにかさがない,It's pouring rain but I don't have an umbrella.,-,kids
55,大ピンチずかん,58,れ,れいとうこがしまらない,The freezer won't close.,-,kids
56,大ピンチずかん,59,さ,さげたあたまの　いきおいで　ランドセルの　なかみが　ぜんぶとびだした,Everything fell out of my backpack when I bowed to say goodbye.,-,kids
57,大ピンチずかん,84,ま,まいご,I'm lost.,-,kids
58,大ピンチずかん,82,か,かいものがながい,Shopping is taking a long time.,-,kids
59,大ピンチずかん,81,じ,じてんしゃにハチがとまっている,A bee is sitting on the bicycle.,-,kids
60,大ピンチずかん,60,せ,せんせいに　おかあさんといってしまった,I accidentally called my teacher 'Mom'.,-,kids
61,大ピンチずかん,61,ぎ,ギターのなかにおかしがおちた,A snack fell inside the guitar.,-,kids
62,大ピンチずかん,62,ず,ズボンのゴムがきれた,The elastic in my pants snapped.,-,kids
63,大ピンチずかん,63,さ,さなぎからかえった　カブトムシが　まよなかに　へやじゅうを　とびまわっている,The beetle that emerged from its pupa escaped at night and is flying around.,-,kids
64,大ピンチずかん,57,け,けしゴムに　ついた　えんぴつのしんの　あとが　けすたびに　うつる,The pencil lead stuck in the eraser leaves marks when I erase.,-,kids
65,大ピンチずかん,89,お,おきられない,Can't wake up.,-,kids
66,大ピンチずかん,91,で,かばしらに　じてんしゃで　つっこんだ,Crashed my bicycle into a mosquito swarm.,-,kids
67,大ピンチずかん,93,と,トイレがつまった,The toilet is clogged.,-,kids
68,大ピンチずかん,94,お,おかあさんがイライラしている,Mom is getting irritated.,-,kids
69,大ピンチずかん,95,お,プレゼントをわすれた,Forgot the present.,-,kids
70,大ピンチずかん,86,し,しんしつに　だれかいる,Someone is in the bedroom.,-,kids
71,大ピンチずかん,87,く,クモのすにかかった,Got caught in a spider web.,-,kids
72,大ピンチずかん,88,と,トイレにおおきなガがとまっている,A large moth is sitting in the toilet.,-,kids
73,大ピンチずかん,9,し,しゃっくりがとまらない,Can't stop hiccuping.,-,kids
74,大ピンチずかん,16,わ,わりばしがうまくわれない,Can't split the chopsticks properly.,-,kids
75,大ピンチずかん,11,ご,ゴミばこがやまもり,The trash can is overflowing.,-,kids
76,大ピンチずかん,70,お,おなかがすいてうごけない,So hungry I can't move.,-,kids
77,大ピンチずかん,67,ま,まちがえてシャワーがでた,The shower came on by mistake.,-,kids
78,大ピンチずかん,13,け,パンがくろこげ,The bread is burnt to a crisp.,-,kids
79,大ピンチずかん,10,け,けずりかすいれがはいってなかった,The pencil shavings container wasn't in.,-,kids
80,大ピンチずかん,71,ふ,ふとんのなかでおならがでた,Farted under the covers.,-,kids
81,大ピンチずかん,69,じ,じぶんのいえでトイレがつまった,The toilet at my own house is clogged.,-,kids
82,大ピンチずかん,8,あ,あたまにつけたわゴムがとれない,Can't remove the rubber band I put on my head.,-,kids
83,大ピンチずかん,12,や,ビニールぶくろがめくれない,Can't open the plastic bag.,-,kids
84,大ピンチずかん,15,し,しょくばんを　スライスしたら　ぺったんこに　つぶれた,The bread got squashed while I was trying hard to slice it.,-,kids
85,大ピンチずかん,7,ぺ,ペンがしみてつくえについた,The pen leaked onto the desk.,-,kids
86,大ピンチずかん,80,や,やっぱりさむかった,It was cold after all.,-,kids
87,大ピンチずかん,74,と,トイレのかみがない,There is no toilet paper.,-,kids
88,大ピンチずかん,73,わ,ワサビいりだった,It had wasabi in it.,-,kids
89,大ピンチずかん,72,お,おべんとうをわすれた,Forgot my lunch box.,-,kids
90,大ピンチずかん,66,あ,あしがつちだらけ,Feet are covered in mud.,-,kids
91,大ピンチずかん,65,は,ハエがじぶんにばかりとまる,Flies only land on me.,-,kids
92,大ピンチずかん,83,い,イヌがすごくなめてくる,The dog is licking me a lot.,-,kids
93,大ピンチずかん,75,し,しらないひとのてをにぎっていた,Was holding a stranger's hand.,-,kids
94,大ピンチずかん,85,し,シロツメクサで　つくった　かんむりに　アブラムシが　いっぱいついていた,"When I looked closely at the clover crown, it was full of aphids.",-,kids
95,大ピンチずかん,79,ば,バッグにアリがあつまってきた,Ants gathered on the bag.,-,kids
96,大ピンチずかん,78,し,しんしつの　てんじょうに　ひとのかおみたいな　もようが　ある,The wood grain on the bedroom ceiling started to look like a person's face.,-,kids
97,大ピンチずかん,41,や,やすみじかんに　おいた　すいとうを　とりに　いくのを　わすれた,The water bottle I left during recess is still there.,-,kids
98,大ピンチずかん,42,ご,ごはんが　たりない,Not enough food.,-,kids
99,大ピンチずかん,44,は,はなしを　きいてなかった,Wasn't listening.,-,kids
100,大ピンチずかん,2,の,のんだガムに　まだあじが　たくさんのこっていた,Swallowed the gum; it still had a lot of flavor left.,-,kids
101,大ピンチずかん,52,む,むかしの　おにぎりが　でてきた,An old rice ball appeared.,-,kids
102,国旗王,上級,し,人口密度が高い,High population density.,-,kids
103,国旗王,上級,ひ,一人当たりGDPが高い,High GDP per capita.,-,kids
104,国旗王,上級,し,首都 最東,Easternmost capital.,-,kids
105,国旗王,上級,し,首都が最北,Northernmost capital.,-,kids
106,国旗王,上級,は,排他的経済水域,Exclusive Economic Zone.,-,kids
107,国旗王,上級,く,軍事費が最小,Smallest military expenditure.,-,kids
108,国旗王,上級,へ,平均寿命が短い,Short average life expectancy.,-,kids
109,国旗王,初級,し,人口が多い,Large population.,-,kids
110,国旗王,初級,め,面積が最小,Smallest area.,-,kids
111,国旗王,初級,は,排他的経済水域が最小,Smallest Exclusive Economic Zone.,-,kids
112,国旗王,上級,さ,最高地点が高い,Highest point is high.,-,kids
113,国旗王,初級,こ,国内総生産GDPが低い,Low GDP.,-,kids
114,国旗王,初級,し,人口が少ない,Small population.,-,kids
115,国旗王,初級,せ,正式国名が長い,Long official country name.,-,kids
116,国旗王,上級,く,軍事費が大きい,Large military expenditure.,-,kids
117,国旗王,上級,さ,最高地点が低い,Highest point is low.,-,kids
118,国旗王,初級,こ,国内総生産GDPが高い,High GDP.,-,kids
119,国旗王,初級,せ,正式国名が短い,Short official country name.,-,kids
120,国旗王,初級,め,面積が大きい,Large area.,-,kids
121,国旗王,上級,へ,平均寿命が長い,Long average life expectancy.,-,kids
122,国旗王,初級,ひ,一人当たりGDPが低い,Low GDP per capita.,-,kids
123,国旗王,初級,し,人口密度が低い,Low population density.,-,kids
124,国旗王,初級,せ,正式国名 五十音順 アに近い,Official name closest to 'A' in Japanese syllabary.,-,kids
125,国旗王,初級,し,首都が最南,Southernmost capital.,-,kids
126,おばけかるた,-,ふ,ふでこぞうが　ひとふでがき,Fudekozo draws with a single stroke.,ふでこぞう,kids
127,おばけかるた,-,ね,ねこまたも　ねがおはかわいい,Even Nekomata looks cute when sleeping.,ねこまた,kids
128,おばけかるた,-,ち,ちょうちんぶらり　こっちへ　くるぞ,Chochin-burari is coming this way!,ちょうちんぶらり,kids
129,おばけかるた,-,た,たまごがわれて　てんぐがうまれた,An egg cracked and a Tengu was born.,てんぐ,kids
130,おばけかるた,-,け,けむくじゃらな　うでだ　まけるな！,"It's a hairy arm, don't lose!",けむくじゃらなうで,kids
131,おばけかるた,-,く,くずかごからくろいてが！！！　きゃっ！！！,A black hand from the wastebasket!!! Kya!!!,くろいて,kids
132,おばけかるた,-,あ,あめふりこぞうが　びちゃびちゃあるく,Amefuri-kozo walks with a squish-squish.,あめふりこぞう,kids
133,おばけかるた,-,ひ,ひとつめのくには　ひとつめだらけだってさ,They say the one-eyed country is full of one-eyes.,ひとつめ,kids
134,おばけかるた,-,ぬ,ぬらりとわらう　ぬっぺっぽう,Nureppon smiles eerily.,ぬっぺっぽう,kids
135,おばけかるた,-,つ,つきよにでていくつく　もがみ,Tsuku-mogami goes out on a moonlit night.,つくもがみ,kids
136,おばけかるた,-,そ,そろってあるく　ぞうりのおばけ,Zori ghosts walk in pairs.,ぞうりのおばけ,kids
137,おばけかるた,-,こ,こんばんは～　どろどろどろどろ～,Good evening~ Doro-doro-doro-doro~,ゆうれい,kids
138,おばけかるた,-,き,きゅうびのきつねは　ばけるめいじん,The nine-tailed fox is a master of disguise.,きゅうびのきつね,kids
139,おばけかるた,-,い,いったんもめんは　そらとべていいなあ,"Ittan-momen, it's nice to fly in the sky.",いったんもめん,kids
140,おばけかるた,-,は,はたらけはたらけ　おばけもはたらけ,"Work, work, ghosts also work.",おばけ,kids
141,おばけかるた,-,に,にっこりわらう　にかいのおんな,The woman on the second floor smiles.,にかいのおんな,kids
142,おばけかるた,-,て,てんぐのはながおれては　かわいそう,It would be pitiful if Tengu's nose broke.,てんぐ,kids
143,おばけかるた,-,せ,せんすだって　すてればばける,Even a fan will transform if you throw it away.,せんす,kids
144,おばけかるた,-,さ,さかさくびは　ぺろぺろなめる,Sakasa-kubi licks with a flick-flick.,さかさくび,kids
145,おばけかるた,-,か,かあさんかっぱ　とこどものかっぱ,Mother Kappa and baby Kappa.,かっぱ,kids
146,おばけかるた,-,う,うみぼうずのがっこう　せいとをぼしゅう,Umibozu's school is recruiting students.,うみぼうず,kids
147,おばけかるた,-,の,のんきなのぶすま　のんびりとんだ,Carefree Nobusuma flew leisurely.,のぶすま,kids
148,おばけかるた,-,な,なきなきかえった　ちいさなゆうれい,A small ghost returned crying.,ちいさなゆうれい,kids
149,おばけかるた,-,と,とらがねてたら　かみなりどしーん！！,"If a tiger sleeps, lightning strikes with a boom!!",かみなり,kids
150,おばけかるた,-,す,すりばちこぞうは　なにすってるの？,What is Suribachi-kozo grinding?,すりばちこぞう,kids
151,おばけかるた,-,し,しろくてみえない　ゆきのひのゆうれい,A white and invisible ghost on a snowy day.,ゆきのひのゆうれい,kids
152,おばけかるた,-,お,おにもおじいさんになる,Even an ogre grows old.,おに,kids
153,おばけかるた,-,え,えだをもやしたら　えんえんらがでたぞ,"When I burned a branch, Enenra came out!",えんえんら,kids
154,おばけかるた,-,る,るすばんしてるは　ぶるぶるひとり,"Staying home alone, trembling.",ゆうれい,kids
155,おばけかるた,-,り,りゅうがいねむり　そらからおちる,"A dragon sleeping, falling from the sky.",りゅう,kids
156,おばけかるた,-,む,むじなもばけたが　ちょっとむりだった,"Mujina tried to transform, but it was a bit impossible.",むじな,kids
157,おばけかるた,-,み,みこしにゅうどう　みかけよりよわい,"Mikoshi-Nyudo, weaker than he looks.",みこしにゅうどう,kids
158,おばけかるた,-,れ,れいぎただしい　ゆうれいもいる,There are polite ghosts too.,ゆうれい,kids
159,おばけかるた,-,ら,らしょうもんの　おにはらんぼうだ,The demon of Rashomon is wild.,らしょうもんのおに,kids
160,おばけかるた,-,め,めだまをとられた　ひとつめこぞう,A one-eyed monster whose eye was taken.,ひとつめこぞう,kids
161,おばけかるた,-,ま,まくらがえしは　まいばんうるさい,Makura-gaeshi is noisy every night.,まくらがえし,kids
162,おばけかるた,-,ろ,ろくろくねなかった　ろくろっくび,Rokurokubi who didn't sleep at all.,ろくろっくび,kids
163,おばけかるた,-,よ,よみちをこわがる　よわむしにゅうどう,A timid Nyudo who is scared of night roads.,よわむしにゅうどう,kids
164,おばけかるた,-,も,もりんじのかまは　たぬきがばけた,Morinji's kettle was a transformed raccoon dog.,たぬき,kids
165,おばけかるた,-,ほ,ほうきのおばけは　ほめてやろう,Let's praise the broom ghost.,ほうきのおばけ,kids
166,おばけかるた,-,を,「あしをけして　てをまえに」ゆうれいのおけいこ,"Delete legs, hands forward - a ghost's practice.",ゆうれい,kids
167,おばけかるた,-,わ,わ、にゅうどうだ　わぁーっこわい！,"Oh, it's a Nyudo! Ahh, scary!",にゅうどう,kids
168,おばけかるた,-,ゆ,ゆきおんな　おゆにはいってとけちゃった,Yuki-onna went into hot water and melted.,ゆきおんな,kids
169,おばけかるた,-,や,やなぎのしたで　ゆうれいけんか,Ghosts fighting under a willow tree.,ゆうれい,kids
170,おばけかるた,-,へ,へびよりこわい　ろくろっくび,"Rokurokubi, scarier than a snake.",ろくろっくび,kids
171,いろはかるた,-,ま,嘘から出たまこと,A lie can sometimes turn into the truth,でたらめに言ったことが、偶然にも事実になってしまうこと,kids
172,いろはかるた,-,こ,弘法にも筆の誤り,Even experts make mistakes,どんな名人でも失敗することがあるというたとえ,kids
173,いろはかるた,-,あ,得手に帆を揚げる,To take advantage of a good opportunity,物事を行うのに絶好の機会を得ること,kids
174,いろはかるた,-,あ,味なもの縁は異なもの,Romance works in mysterious ways,男女の仲は理屈では説明できないものだということ,kids
175,いろはかるた,-,ぞ,芋の煮えたも御存じない,Completely clueless,物事の様子がまったく分からない人をからかう言い方,kids
176,いろはかるた,-,て,文はやりたし書く手は持たぬ,Wanting to write a letter but lacking the skill,やりたい気持ちはあるが能力が伴わず困っていること,kids
177,いろはかるた,-,す,亭主の好きな赤烏帽子,One must go along with the head of the household,家長の好みには家族も従うべきだという考え,kids
178,いろはかるた,-,し,知らぬが仏,Ignorance is bliss,知らなければ悩まずにすむこともあるということ,kids
179,いろはかるた,-,は,背に腹はかえられぬ,Needs must when driven,大きな目的のためには多少の犠牲は仕方ないということ,kids
180,いろはかるた,-,げ,芸は身を助ける,A skill will always help you,身につけた技や芸が困ったときに役立つこと,kids
181,いろはかるた,-,の,喉元過ぎれば熱さを忘れる,"Once the pain is gone, the lesson is forgotten",苦しい経験をしても時間がたつと忘れてしまうこと,kids
182,いろはかるた,-,あ,頭隠して尻隠さず,Trying to hide something but failing,一部しか隠していないのに全部隠したつもりでいること,kids
183,いろはかるた,-,み,身から出た錆,You reap what you sow,自分のした悪い行いの結果で自分が苦しむこと,kids
184,いろはかるた,-,も,門前の小僧習わぬ経を読む,You learn things naturally by exposure,日頃見聞きしているうちに自然と身につくことがある,kids
185,いろはかるた,-,お,鬼に金棒,Adding strength to the strong,強いものがさらに力を得て一層強くなること,kids
186,いろはかるた,-,ま,負けるが勝ち,Sometimes losing leads to winning,一歩引いた方が結果的に有利になることがある,kids
187,いろはかるた,-,さ,三遍回って煙草にしょ,Take time and be careful,急がず慎重に行動することが大切だということ,kids
188,いろはかるた,-,め,目の上のたん瘤,A thorn in one’s side,自分にとって邪魔で目障りな存在のたとえ,kids
189,いろはかるた,-,ひ,貧乏暇なし,The poor have no leisure,貧しい人ほど仕事に追われ時間の余裕がないこと,kids
190,いろはかるた,-,く,臭い物に蓋をする,To cover up an inconvenient truth,都合の悪いことを一時的に隠そうとすること,kids
191,いろはかるた,-,や,安物買いの銭失い,Buying cheap ends up costing more,安い物を買うとかえって損をすること,kids
192,いろはかるた,-,き,聞いて極楽見て地獄,Hearing and seeing are very different,聞くのと実際に見るのとでは大きな違いがあること,kids
193,いろはかるた,-,ゆ,油断大敵,Carelessness is dangerous,油断すると失敗や災難を招くということ,kids
194,いろはかるた,-,い,犬も歩けば棒に当たる,Every action brings some result,行動すれば良くも悪くも何かが起こるということ,kids
195,いろはかるた,-,ら,楽あれば苦あり,Life has ups and downs,人生には楽しいことと苦しいことの両方がある,kids
196,いろはかるた,-,む,無理が通れば道理が引っ込む,"When force prevails, reason disappears",無茶がまかり通る世の中では道理が通らなくなる,kids
197,いろはかるた,-,と,年寄りの冷や水,An old person acting recklessly,年齢を考えず無理な振る舞いをすること,kids
198,いろはかるた,-,す,粋は身を食う,Showing off can ruin you,気取った振る舞いが身を滅ぼすことがある,kids
199,いろはかるた,-,き,京の夢大阪の夢,Dreams are fleeting and strange,夢というものはとりとめなく不思議なものだということ,kids
200,いろはかるた,-,へ,下手の長談義,The unskilled talk the longest,下手な人ほど話が長くなること,kids
201,いろはかるた,-,ろ,論より証拠,Proof is better than argument,理屈よりも実際の証拠が大切だということ,kids
202,いろはかるた,-,く,くたびれ儲け,All effort and no reward,苦労したわりに何の得もないこと,kids
203,いろはかるた,-,に,憎まれっ子世にはばかる,The disliked often survive well,憎まれるような人ほど世渡りがうまいこと,kids
204,いろはかるた,-,ち,塵も積もれば山となる,Many small things add up,小さなことでも積み重なれば大きな成果になる,kids
205,いろはかるた,-,こ,律義者の子だくさん,Honest people tend to have many children,律義な人は家庭を大切にし子どもが多くなるという考え,kids
206,いろはかるた,-,ぬ,盗人の昼寝,Even bad acts have consequences,どんな行いにも必ず報いがあるということ,kids
207,いろはかるた,-,は,花より団子,Practicality over appearance,見た目より実利を重んじること,kids
208,いろはかるた,-,る,瑠璃も玻璃も照らせば光る,True talent shines anywhere,才能のある人はどんな環境でも力を発揮する,kids
209,いろはかるた,-,な,泣きっ面に蜂,Misfortune never comes alone,不運なときにさらに不幸が重なること,kids
210,いろはかるた,-,あ,葦の髄から天井のぞく,Judging the whole from a tiny part,わずかな知識で全て分かったつもりになること,kids
211,いろはかるた,-,か,蛙の面に水,Completely unfazed,何をされても平然としていること,kids
212,いろはかるた,-,わ,破れ鍋に綴じ蓋,Every pot has its lid,どんな人にもふさわしい相手がいるということ,kids
213,いろはかるた,-,を,老いては子に従え,Let the younger generation lead,年を取ったら若い者の意見に従うのがよい,kids
214,いろはかるた,-,ね,念には念を入れよ,Double-check everything,十分注意した上でさらに注意を重ねること,kids
215,いろはかるた,-,た,旅は道連れ世は情け,Life is about helping each other,人は助け合って生きていくものだということ,kids
216,いろはかるた,-,れ,良薬は口に苦し,Good medicine tastes bitter,忠告は耳に痛いが自分のためになる,kids
217,いろはかるた,-,そ,総領の甚六,The eldest son is often naive,長男は大事に育てられ世間知らずになりがちだということ,kids
218,いろはかるた,-,つ,月とすっぽん,Like night and day,似ているようで実際は大きな違いがある,kids
219,いろはかるた（意味）,-,ま,でたらめに言ったことが、偶然にも事実になってしまうこと,A lie can sometimes turn into the truth,嘘から出たまこと,kids
220,いろはかるた（意味）,-,こ,どんな名人でも失敗することがあるというたとえ,Even experts make mistakes,弘法にも筆の誤り,kids
221,いろはかるた（意味）,-,あ,物事を行うのに絶好の機会を得ること,To take advantage of a good opportunity,得手に帆を揚げる,kids
222,いろはかるた（意味）,-,あ,男女の仲は理屈では説明できないものだということ,Romance works in mysterious ways,味なもの縁は異なもの,kids
223,いろはかるた（意味）,-,ぞ,物事の様子がまったく分からない人をからかう言い方,Completely clueless,芋の煮えたも御存じない,kids
224,いろはかるた（意味）,-,て,やりたい気持ちはあるが能力が伴わず困っていること,Wanting to write a letter but lacking the skill,文はやりたし書く手は持たぬ,kids
225,いろはかるた（意味）,-,す,家長の好みには家族も従うべきだという考え,One must go along with the head of the household,亭主の好きな赤烏帽子,kids
226,いろはかるた（意味）,-,し,知らなければ悩まずにすむこともあるということ,Ignorance is bliss,知らぬが仏,kids
227,いろはかるた（意味）,-,は,大きな目的のためには多少の犠牲は仕方ないということ,Needs must when driven,背に腹はかえられぬ,kids
228,いろはかるた（意味）,-,げ,身につけた技や芸が困ったときに役立つこと,A skill will always help you,芸は身を助ける,kids
229,いろはかるた（意味）,-,の,苦しい経験をしても時間がたつと忘れてしまうこと,"Once the pain is gone, the lesson is forgotten",喉元過ぎれば熱さを忘れる,kids
230,いろはかるた（意味）,-,あ,一部しか隠していないのに全部隠したつもりでいること,Trying to hide something but failing,頭隠して尻隠さず,kids
231,いろはかるた（意味）,-,み,自分のした悪い行いの結果で自分が苦しむこと,You reap what you sow,身から出た錆,kids
232,いろはかるた（意味）,-,も,日頃見聞きしているうちに自然と身につくことがある,You learn things naturally by exposure,門前の小僧習わぬ経を読む,kids
233,いろはかるた（意味）,-,お,強いものがさらに力を得て一層強くなること,Adding strength to the strong,鬼に金棒,kids
234,いろはかるた（意味）,-,ま,一歩引いた方が結果的に有利になることがある,Sometimes losing leads to winning,負けるが勝ち,kids
235,いろはかるた（意味）,-,さ,急がず慎重に行動することが大切だということ,Take time and be careful,三遍回って煙草にしょ,kids
236,いろはかるた（意味）,-,め,自分にとって邪魔で目障りな存在のたとえ,A thorn in one’s side,目の上のたん瘤,kids
237,いろはかるた（意味）,-,ひ,貧しい人ほど仕事に追われ時間の余裕がないこと,The poor have no leisure,貧乏暇なし,kids
238,いろはかるた（意味）,-,く,都合の悪いことを一時的に隠そうとすること,To cover up an inconvenient truth,臭い物に蓋をする,kids
239,いろはかるた（意味）,-,や,安い物を買うとかえって損をすること,Buying cheap ends up costing more,安物買いの銭失い,kids
240,いろはかるた（意味）,-,き,聞くのと実際に見るのとでは大きな違いがあること,Hearing and seeing are very different,聞いて極楽見て地獄,kids
241,いろはかるた（意味）,-,ゆ,油断すると失敗や災難を招くということ,Carelessness is dangerous,油断大敵,kids
242,いろはかるた（意味）,-,い,行動すれば良くも悪くも何かが起こるということ,Every action brings some result,犬も歩けば棒に当たる,kids
243,いろはかるた（意味）,-,ら,人生には楽しいことと苦しいことの両方がある,Life has ups and downs,楽あれば苦あり,kids
244,いろはかるた（意味）,-,む,無茶がまかり通る世の中では道理が通らなくなる,"When force prevails, reason disappears",無理が通れば道理が引っ込む,kids
245,いろはかるた（意味）,-,と,年齢を考えず無理な振る舞いをすること,An old person acting recklessly,年寄りの冷や水,kids
246,いろはかるた（意味）,-,す,気取った振る舞いが身を滅ぼすことがある,Showing off can ruin you,粋は身を食う,kids
247,いろはかるた（意味）,-,き,夢というものはとりとめなく不思議なものだということ,Dreams are fleeting and strange,京の夢大阪の夢,kids
248,いろはかるた（意味）,-,へ,下手な人ほど話が長くなること,The unskilled talk the longest,下手の長談義,kids
249,いろはかるた（意味）,-,ろ,理屈よりも実際の証拠が大切だということ,Proof is better than argument,論より証拠,kids
250,いろはかるた（意味）,-,く,苦労したわりに何の得もないこと,All effort and no reward,くたびれ儲け,kids
251,いろはかるた（意味）,-,に,憎まれるような人ほど世渡りがうまいこと,The disliked often survive well,憎まれっ子世にはばかる,kids
252,いろはかるた（意味）,-,ち,小さなことでも積み重なれば大きな成果になる,Many small things add up,塵も積もれば山となる,kids
253,いろはかるた（意味）,-,こ,律義な人は家庭を大切にし子どもが多くなるという考え,Honest people tend to have many children,律義者の子だくさん,kids
254,いろはかるた（意味）,-,ぬ,どんな行いにも必ず報いがあるということ,Even bad acts have consequences,盗人の昼寝,kids
255,いろはかるた（意味）,-,は,見た目より実利を重んじること,Practicality over appearance,花より団子,kids
256,いろはかるた（意味）,-,る,才能のある人はどんな環境でも力を発揮する,True talent shines anywhere,瑠璃も玻璃も照らせば光る,kids
257,いろはかるた（意味）,-,な,不運なときにさらに不幸が重なること,Misfortune never comes alone,泣きっ面に蜂,kids
258,いろはかるた（意味）,-,あ,わずかな知識で全て分かったつもりになること,Judging the whole from a tiny part,葦の髄から天井のぞく,kids
259,いろはかるた（意味）,-,か,何をされても平然としていること,Completely unfazed,蛙の面に水,kids
260,いろはかるた（意味）,-,わ,どんな人にもふさわしい相手がいるということ,Every pot has its lid,破れ鍋に綴じ蓋,kids
261,いろはかるた（意味）,-,を,年を取ったら若い者の意見に従うのがよい,Let the younger generation lead,老いては子に従え,kids
262,いろはかるた（意味）,-,ね,十分注意した上でさらに注意を重ねること,Double-check everything,念には念を入れよ,kids
263,いろはかるた（意味）,-,た,人は助け合って生きていくものだということ,Life is about helping each other,旅は道連れ世は情け,kids
264,いろはかるた（意味）,-,れ,忠告は耳に痛いが自分のためになる,Good medicine tastes bitter,良薬は口に苦し,kids
